Network Name,IP Address,u_marsha,u_lsp
MEMRI,12.104.86.235,MEMRI,SONIFI
MKECY,74.51.18.22,MKECY,SONIFI
MKETO,12.34.46.2,MKETO,SONIFI
MLBSC,184.80.40.194,MLBSC,SONIFI
MMHWI,12.198.59.114,MMHWI,SONIFI
MOBSP,66.184.144.98,MOBSP,SONIFI
MTHFI,207.250.171.27,MTHFI,SONIFI
OAKLM,69.170.44.114,OAKLM,SONIFI
OKCSI,12.176.122.124,OKCSI,SONIFI
OMAFD,184.187.12.194,OMAFD,SONIFI
PGVRI,207.192.225.66,PGVRI,SONIFI
PHLFA,65.220.47.146,PHLFA,SONIFI
PHLPF,50.204.112.103,PHLPF,SONIFI
RSTTS,71.87.10.85,RSTTS,SONIFI
RSWFB,63.148.219.19,RSWFB,SONIFI
SANCR,12.138.39.9,SANCR,SONIFI
SATNA,12.157.251.5,SATNA,SONIFI
SAVSP,64.203.230.35,SAVSP,SONIFI
SBNWL,12.150.45.217,SBNWL,SONIFI
SGFTS,12.20.100.92,SGFTS,SONIFI
TPARH,97.78.132.100,TPARH,SONIFI
WASBT,65.220.11.21,WASBT,SONIFI
YQGTS,198.175.23.66,YQGTS,SONIFI
YULBC,216.113.47.20,YULBC,SONIFI
YYZBM,72.138.24.254,YYZBM,SONIFI
YXUCY,207.35.96.123,YXUCY,SONIFI
CLELY,74.142.200.94,CLELY,Parity
DENAP,65.140.8.226,DENAP,GuestTek
EWRWM,65.74.2.114,EWRWM,SONIFI
HLNRI,67.52.95.18,HLNRI,GuestTek
LASNV,63.237.165.130,LASNV,GuestTek
LAXRO,12.176.54.98,LAXRO,GuestTek
LBBFI,199.123.2.135,LBBFI,GuestTek
MAFFI,160.3.220.146,MAFFI,GuestTek
MBSSG,216.25.191.226,MBSSG,GuestTek
MBSTP,63.76.11.2,MBSTP,GuestTek
MCICV,150.220.242.116,MCICV,GuestTek
MCISM,12.164.200.109,MCISM,GuestTek
MEMCA,12.203.205.66,MEMCA,GuestTek
MFRCY,69.85.213.31,MFRCY,GuestTek
MKEDN,12.237.55.66,MKEDN,GuestTek
MNZCH,63.88.70.131,MNZCH,GuestTek
MNZCY,170.249.134.111,MNZCY,GuestTek
MSNMV,12.175.2.226,MSNMV,GuestTek
MSYRZ,12.68.221.114,MSYRZ,GuestTek
OMART,65.155.45.18,OMART,GuestTek
OSHFI,99.110.125.177,OSHFI,GuestTek
OWBTS,74.9.214.178,OWBTS,GuestTek
PHLSA,65.124.80.194,PHLSA,GuestTek
PHLVF,67.51.133.205,PHLVF,GuestTek
PHXRP,98.179.134.178,PHXRP,GuestTek
PLNAK,12.31.195.130,PLNAK,SONIFI
PWMPT,50.235.189.212,PWMPT,GuestTek
RDUDR,209.119.243.3,RDUDR,GuestTek
SEANG,205.170.182.2,SEANG,GuestTek
SNADP,8.9.46.178,SNADP,GuestTek
SPAMC,128.92.65.167,SPAMC,GuestTek
STCFI,12.175.7.130,STCFI,GuestTek
SPAWE,12.232.137.2,SPAWE,GuestTek
SPISH,12.175.7.162,SPISH,GuestTek
STLWP,66.172.203.220,STLWP,GuestTek
TRXFI,64.207.235.131,TRXFI,GuestTek
TUSAD,72.47.16.130,TUSAD,GuestTek
TYRSL,24.97.190.132,TYRSL,GuestTek
WASGO,216.36.22.93,WASGO,GuestTek
YGKRI,71.7.183.245,YGKRI,GuestTek
YHZCY,76.11.6.186,YHZCY,GuestTek
YHZRI,64.141.77.34,YHZRI,GuestTek
YQLFI,207.179.142.4,YQLFI,GuestTek
YULHY,64.251.70.126,YULHY,GuestTek
YVRDT,74.3.157.158,YVRDT,SONIFI
YYTCY,69.17.174.105,YYTCY,GuestTek
ARBSI,207.243.51.221,ARBSI,SingleDigits
ATLRE,134.56.64.51,ATLRE,Allbridge
BNAAL,12.34.111.147,BNAAL,GuestTek
